cod_ibge,municipio,regional_saude,nivel,score,alerta_inteligente_nivel,alerta_inteligente_score,probabilidade_escalada_operacional_pct,score_climatico_preditivo,score_assistencial_preditivo,score_ar_preditivo,score_vulnerabilidade,score_saude_sensivel,score_capacidade_protetora,tmax,utci_proxy,risco_cumulativo_3d,tmax_max_7d,utci_proxy_max_7d,risco_cumulativo_3d_max_7d,ocupacao_leitos_pct,pressao_calor_pct,pm25_ugm3,iq_ar_score,indice_vulnerabilidade_calor,indice_capacidade_cnes,eventos_saude_calor,recomendacao_operacional,gerado_em
5100102,Acorizal,ERS Cuiabá,verde,0,verde,13.59,13.6,25.95,6.37,0.0,16.45,10.27,16.84,18.7,18.419999999999998,0.10287751588887062,32.5,31.82,4.3463253255373075,45.65419474785034,32.07224467448287,4.027366316256325,0,31.514084507042256,16.843971631205676,165,Manter vigilância de rotina.,2026-06-19 10:28:33
5100201,Água Boa,ERS Água Boa,laranja,2,amarela,37.1,37.1,61.42,10.45,0.0,73.04,62.74,86.17,28.7,28.06,8.475056081928331,34.4,33.120000000000005,10.912126781052795,36.392405063291136,36.608079190890834,2.573425135569717,0,71.12676056338027,86.17021276595743,1008,Manter monitoramento diário e comunicação preventiva.,2026-06-19 10:28:33
5100250,Alta Floresta,ERS Alta Floresta,amarela,1,verde,32.53,32.5,27.28,8.27,51.01,68.51,100.0,93.68,27.1,27.1,2.3134440092727644,31.0,30.9,6.933506711243975,43.85382059800664,34.18483442890772,31.252266134462094,2,67.95774647887323,93.67612293144208,1677,Manter vigilância de rotina. Associar alerta de qualidade do ar às recomendações de proteção respiratória.,2026-06-19 10:28:33
5100300,Alto Araguaia,ERS Rondonópolis,verde,0,verde,12.39,12.4,11.23,7.63,0.0,56.34,23.28,64.07,17.1,16.740000000000002,1.3692360246111246,29.5,29.1,2.1469051640155943,45.65419474785034,33.47930968417426,1.8861368120942958,0,59.43661971830987,64.0661938534279,374,Manter vigilância de rotina.,2026-06-19 10:28:33
5100359,Alto Boa Vista,ERS São Félix do Araguaia,amarela,1,verde,21.43,21.4,30.39,15.24,0.0,49.4,14.38,26.54,31.5,30.620000000000005,5.517207365934329,33.0,32.080000000000005,5.726263935651149,45.65419474785034,41.93816673008894,4.22318082465518,0,54.5774647887324,26.53664302600473,231,Manter vigilância de rotina.,2026-06-19 10:28:33
5100409,Alto Garças,ERS Rondonópolis,verde,0,verde,8.88,8.9,6.87,6.52,0.0,37.53,27.32,55.56,17.5,17.3,0.26250000000000107,29.5,28.38,0.8583333333333343,45.65419474785034,32.249602990161904,2.0230349911616186,0,46.267605633802816,55.55555555555556,439,Manter vigilância de rotina.,2026-06-19 10:28:33
5100508,Alto Paraguai,ERS Diamantino,verde,0,verde,15.21,15.2,26.79,6.26,0.0,30.13,11.02,27.25,19.1,18.900000000000002,0.0,32.3,31.659999999999997,5.0249161421439315,45.65419474785034,31.957936323495236,7.914675477096847,0,41.09154929577465,27.245862884160754,177,Manter vigilância de rotina.,2026-06-19 10:28:33
5100607,Alto Taquari,ERS Rondonópolis,verde,0,verde,6.79,6.8,3.03,6.73,0.0,35.21,22.09,52.66,15.7,15.579999999999998,0.46416666666666373,27.2,26.68,0.726666666666663,45.65419474785034,32.47367706423597,2.5546666057095573,0,44.647887323943664,52.65957446808511,355,Manter vigilância de rotina.,2026-06-19 10:28:33
5100805,Apiacás,ERS Alta Floresta,amarela,1,verde,16.77,16.8,31.18,0.0,0.0,32.9,31.62,50.41,27.6,27.76,2.3463615807994778,31.4,31.28,8.029502365337237,0.0,4.073735089777198,8.33056423843459,0,43.028169014084504,50.413711583924346,508,Manter vigilância de rotina.,2026-06-19 10:28:33
5101001,Araguaiana,ERS Barra do Garças,amarela,1,verde,29.23,29.2,55.15,13.07,0.0,33.2,21.66,21.75,26.4,25.959999999999997,6.807874968133344,34.2,32.760000000000005,8.578556730139493,45.65419474785034,39.5222418436434,2.1496131639414986,0,43.239436619718305,21.749408983451538,348,Manter vigilância de rotina.,2026-06-19 10:28:33
5101209,Araguainha,ERS Rondonópolis,verde,0,verde,6.07,6.1,11.7,7.07,0.0,2.72,1.56,8.81,17.9,17.779999999999998,0.8108433314088828,30.7,29.42,1.53285095157338,45.65419474785034,32.85887335839399,1.6684095894052973,0,21.901408450704228,8.806146572104018,25,Manter vigilância de rotina.,2026-06-19 10:28:33
5101258,Araputanga,ERS Cáceres,verde,0,verde,12.59,12.6,12.21,6.26,0.0,40.19,43.13,59.22,16.8,16.36,0.0,29.9,29.619999999999997,2.1028578397833346,45.65419474785034,31.957936323495236,3.781893236484865,0,48.13380281690141,59.21985815602837,693,Manter vigilância de rotina.,2026-06-19 10:28:33
5101308,Arenápolis,ERS Tangará da Serra,verde,0,verde,13.43,13.4,25.46,6.26,0.0,25.1,24.71,67.2,19.4,19.319999999999997,0.0,32.0,31.520000000000003,4.781521069777835,45.65419474785034,31.957936323495236,7.6349977059585274,0,37.570422535211264,67.19858156028367,397,Manter vigilância de rotina.,2026-06-19 10:28:33
5101407,Aripuanã,ERS Juína,verde,0,verde,23.02,23.0,29.69,8.89,0.0,71.03,35.35,59.75,25.6,25.6,2.6261018661423066,31.5,31.340000000000003,7.231058620273421,45.65419474785034,34.87582728587557,8.27167260176927,0,69.71830985915493,59.751773049645394,568,Manter vigilância de rotina.,2026-06-19 10:28:33
5101605,Barão de Melgaço,ERS Cuiabá,verde,0,verde,14.64,14.6,30.41,6.26,0.0,20.07,8.53,35.05,19.0,18.56,0.0,32.9,32.18,5.714937409997809,45.65419474785034,31.957936323495236,2.615437862200675,0,34.04929577464789,35.047281323877066,137,Manter vigilância de rotina.,2026-06-19 10:28:33
5101704,Barra do Bugres,ERS Tangará da Serra,verde,0,verde,20.43,20.4,25.33,7.42,0.0,64.79,47.55,80.2,20.8,20.080000000000002,1.1551819362489066,31.4,31.340000000000003,5.3408552196372625,45.65419474785034,33.24147180821625,6.577171121461213,0,65.35211267605634,80.20094562647756,764,Manter vigilância de rotina.,2026-06-19 10:28:33
5101803,Barra do Garças,ERS Barra do Garças,verde,0,verde,25.01,25.0,6.91,32.48,0.0,76.16,100.0,93.26,20.9,21.06,0.422500000000003,29.6,28.52,0.7454166666666708,61.502347417840376,43.52108763693271,1.6006371742744212,0,73.30985915492957,93.26241134751774,2340,Manter vigilância de rotina.,2026-06-19 10:28:33
5101837,Boa Esperança do Norte,ERS Sinop,verde,0,verde,13.53,13.5,24.09,8.94,0.0,15.49,3.98,0.0,22.4,22.119999999999997,2.674545365506644,31.6,31.240000000000002,4.726955428697259,45.65419474785034,34.92965339628039,5.023142888566417,0,30.845070422535215,,64,Manter vigilância de rotina.,2026-06-19 10:28:33
5101852,Bom Jesus do Araguaia,ERS Água Boa,amarela,1,verde,24.12,24.1,30.28,25.48,0.0,56.04,8.59,22.81,31.0,30.200000000000003,4.861448143720089,33.0,32.080000000000005,5.677555488582325,54.22276621787026,46.85754540108705,3.2663476719126363,0,59.225352112676056,22.813238770685583,138,Manter vigilância de rotina.,2026-06-19 10:28:33
5101902,Brasnorte,ERS Juína,amarela,1,verde,20.9,20.9,25.32,9.33,0.0,69.72,38.71,74.23,22.0,21.56,3.0690558737622133,31.3,31.220000000000006,5.527037372073414,45.65419474785034,35.36799840545325,9.442883625359185,0,68.80281690140846,74.23167848699764,622,Manter vigilância de rotina.,2026-06-19 10:28:33
5102504,Cáceres,ERS Cáceres,verde,0,verde,18.45,18.4,10.15,6.26,0.0,60.81,100.0,93.74,17.2,16.72,0.0,29.8,29.560000000000002,1.2310271399422241,45.65419474785034,31.957936323495236,2.652949503869367,0,62.57042253521128,93.73522458628841,2949,Manter vigilância de rotina.,2026-06-19 10:28:33
5102603,Campinápolis,ERS Barra do Garças,laranja,2,amarela,36.88,36.9,59.67,15.21,0.0,75.45,29.0,37.06,27.2,26.439999999999998,8.613087944888344,34.1,32.74,10.706524767683918,45.65419474785034,41.894700706704505,1.9581396471610988,0,72.81690140845069,37.05673758865249,466,Manter monitoramento diário e comunicação preventiva.,2026-06-19 10:28:33
5102637,Campo Novo do Parecis,ERS Tangará da Serra,verde,0,verde,22.05,22.0,13.6,8.01,0.0,71.73,100.0,84.04,17.5,17.58,1.7501788277711352,30.1,30.020000000000003,2.276054881882237,45.65419474785034,33.90257946546316,7.252716858458291,0,70.21126760563381,84.04255319148936,1707,Manter vigilância de rotina.,2026-06-19 10:28:33
5102678,Campo Verde,ERS Rondonópolis,verde,0,verde,18.37,18.4,8.3,6.62,0.0,62.98,100.0,88.53,16.8,16.76,0.36210629171781683,30.0,29.120000000000005,0.8089167102022685,45.65419474785034,32.360276647626144,4.131382210193588,0,64.08450704225352,88.53427895981086,1607,Manter vigilância de rotina.,2026-06-19 10:28:33
5102686,Campos de Júlio,ERS Pontes e Lacerda,verde,0,verde,5.98,6.0,4.88,11.48,0.0,11.97,32.24,63.65,18.0,17.96,0.05355464204894922,28.3,28.06,0.2639246040867409,51.20967741935484,35.90627935138055,5.3517310452503235,0,28.380281690140848,63.65248226950355,518,Manter vigilância de rotina.,2026-06-19 10:28:33
5102694,Canabrava do Norte,ERS Porto Alegre do Norte,vermelha,3,verde,30.94,30.9,69.52,0.0,0.0,31.59,14.75,21.1,33.5,32.42,13.696858077563363,34.8,33.72,13.696858077563363,0.0,20.568731197292628,4.507900941419507,0,42.112676056338024,21.099290780141846,237,Manter vigilância de rotina. Emitir alerta antecipado para os próximos 7 dias com base na previsão meteorológica.,2026-06-19 10:28:33
5102702,Canarana,ERS Água Boa,amarela,1,verde,24.16,24.2,29.48,12.36,0.0,64.79,60.37,84.46,29.5,28.82,4.337439624484553,32.7,31.900000000000006,5.708420866686698,45.0920245398773,38.7337945384525,2.6371060882376463,0,65.35211267605634,84.45626477541371,970,Manter vigilância de rotina.,2026-06-19 10:28:33
5102793,Carlinda,ERS Alta Floresta,amarela,1,verde,18.57,18.6,31.49,6.69,0.0,44.67,17.05,47.58,27.7,27.54,4.991032676288912,31.8,31.520000000000003,7.6472337614400505,36.58536585365854,32.43868129343754,7.698677747590503,0,51.267605633802816,47.57683215130024,274,Manter vigilância de rotina.,2026-06-19 10:28:33
5102850,Castanheira,ERS Juína,verde,0,verde,14.74,14.7,23.91,7.65,0.0,35.51,17.05,46.93,24.5,24.34,1.3920961057178012,31.0,30.92,5.395627264961682,45.65419474785034,33.50470977429279,7.834987247225827,0,44.859154929577464,46.92671394799054,274,Manter vigilância de rotina.,2026-06-19 10:28:33
5103007,Chapada dos Guimarães,ERS Cuiabá,verde,0,verde,34.13,34.1,17.16,75.45,0.0,60.87,59.5,56.97,18.8,18.64,0.14274212177777024,31.4,30.6,2.3578519005022454,83.07086614173228,58.308208656743446,3.335519220303742,0,62.6056338028169,56.973995271867615,956,"Manter vigilância de rotina. Verificar leitos, fluxos de regulação e retaguarda assistencial.",2026-06-19 10:28:33
5103056,Cláudia,ERS Sinop,amarela,1,verde,22.12,22.1,26.87,10.28,7.14,59.46,30.37,39.42,25.6,25.560000000000002,4.015855119821692,31.4,31.160000000000004,6.202977013688987,45.65419474785034,36.41999756774156,12.973987661979436,0,61.61971830985915,39.420803782505914,488,Manter vigilância de rotina.,2026-06-19 10:28:33
5103106,Cocalinho,ERS Água Boa,laranja,2,verde,33.64,33.6,68.37,12.9,0.0,38.63,15.19,34.46,31.1,30.1,11.001141396884297,35.1,33.660000000000004,13.009026251702297,33.84615384615385,39.33246479995691,2.875378010038526,0,47.04225352112676,34.45626477541371,244,Manter vigilância de rotina. Emitir alerta antecipado para os próximos 7 dias com base na previsão meteorológica.,2026-06-19 10:28:33
5103205,Colíder,ERS Colíder,amarela,1,verde,31.09,31.1,31.83,12.59,0.0,83.1,99.83,91.13,28.0,27.8,4.97855838135116,32.2,31.760000000000005,7.274476793204471,45.65419474785034,38.98966785832986,7.492671920814206,0,78.16901408450705,91.13475177304964,1604,Manter vigilância de rotina.,2026-06-19 10:28:33
5103254,Colniza,ERS Juína,amarela,1,verde,28.8,28.8,34.37,10.41,0.0,80.99,60.75,63.18,27.6,27.44,3.066715342541679,32.0,31.720000000000006,8.603351057728391,45.65419474785034,36.565397815208215,7.595798944075059,0,76.69014084507042,63.17966903073285,976,Manter vigilância de rotina.,2026-06-19 10:28:33
5103304,Comodoro,ERS Pontes e Lacerda,verde,0,verde,11.72,11.7,8.77,6.81,0.0,54.23,30.44,64.01,18.0,18.4,0.5497571173644289,28.6,28.8,1.3198153652239366,45.65419474785034,32.56877756501127,6.234735107276091,0,57.95774647887324,64.00709219858156,489,Manter vigilância de rotina.,2026-06-19 10:28:33
5103353,Confresa,ERS Porto Alegre do Norte,laranja,2,amarela,36.31,36.3,63.46,0.0,0.0,74.04,67.34,83.33,33.0,32.0,11.92727127271568,34.1,33.260000000000005,11.92727127271568,0.0,18.25252363635076,5.558384471647608,0,71.83098591549295,83.33333333333334,1082,Manter monitoramento diário e comunicação preventiva.,2026-06-19 10:28:33
5103361,Conquista D'Oeste,ERS Pontes e Lacerda,verde,0,verde,3.93,3.9,3.25,6.26,0.0,6.99,16.8,25.41,16.7,16.459999999999997,0.0,27.8,27.56,0.0,45.65419474785034,31.957936323495236,4.686809959738645,0,24.8943661971831,25.413711583924353,270,Manter vigilância de rotina.,2026-06-19 10:28:33
5103379,Cotriguaçu,ERS Juína,amarela,1,verde,18.87,18.9,30.81,7.15,0.0,52.41,20.48,65.48,26.5,26.5,0.5165618067261288,31.5,31.260000000000005,7.807603999708917,45.65419474785034,32.94856055319093,8.25520261299777,0,56.690140845070424,65.48463356973996,329,Manter vigilância de rotina.,2026-06-19 10:28:33
5103403,Cuiabá,ERS Cuiabá,verde,0,verde,29.7,29.7,25.3,24.49,0.0,74.6,100.0,100.0,18.3,18.06,0.0,32.4,31.72,4.220634321715593,57.72787318361955,40.40951122853368,4.885819637756583,0,72.21830985915493,100.0,6734,Manter vigilância de rotina.,2026-06-19 10:28:33
5103437,Curvelândia,ERS Cáceres,verde,0,verde,9.83,9.8,16.72,6.39,0.0,16.0,6.22,12.71,18.4,17.88,0.1265474374038753,31.0,30.68,2.3857069986350528,45.65419474785034,32.09854458727732,3.7164133927154976,0,31.19718309859155,12.706855791962173,100,Manter vigilância de rotina.,2026-06-19 10:28:33
5103452,Denise,ERS Tangará da Serra,verde,0,verde,13.9,13.9,28.41,6.26,0.0,25.6,7.72,47.52,20.3,20.06,0.0,32.2,31.800000000000004,5.696610348795565,45.65419474785034,31.957936323495236,7.914675477096847,0,37.92253521126761,47.5177304964539,124,Manter vigilância de rotina.,2026-06-19 10:28:33
5103502,Diamantino,ERS Diamantino,verde,0,verde,11.49,11.5,11.34,0.0,0.0,44.06,54.15,79.31,17.4,17.72,0.9237451739644769,29.8,29.440000000000005,1.8774407315555468,2.7777777777777777,2.9708279710716408,5.15018959505486,0,50.84507042253521,79.3144208037825,870,Manter vigilância de rotina.,2026-06-19 10:28:33
5103601,Dom Aquino,ERS Rondonópolis,verde,0,verde,12.61,12.6,18.2,7.54,0.0,31.79,13.13,28.19,17.2,17.119999999999997,1.2771289335911256,31.5,30.5,2.8476728742288984,45.65419474785034,33.37696847192982,2.4419594777652978,0,42.25352112676056,28.191489361702125,211,Manter vigilância de rotina.,2026-06-19 10:28:33
5103700,Feliz Natal,ERS Sinop,amarela,1,verde,23.75,23.8,28.03,11.77,9.79,64.79,28.01,37.77,27.5,27.259999999999998,4.566759554273389,31.7,31.300000000000004,6.370552179104495,45.65419474785034,38.082113606021224,14.077988213087753,0,65.35211267605634,37.76595744680851,450,Manter vigilância de rotina.,2026-06-19 10:28:33
5103809,Figueirópolis D'Oeste,ERS Pontes e Lacerda,verde,0,verde,5.74,5.7,15.0,0.0,0.0,0.0,6.6,12.35,18.0,17.4,0.0,30.7,30.46,2.042275971137803,6.896551724137931,4.827586206896551,3.24867709204401,0,12.429577464788732,12.35224586288416,106,Manter vigilância de rotina.,2026-06-19 10:28:33
5103858,Gaúcha do Norte,ERS Água Boa,amarela,1,verde,20.71,20.7,31.16,9.7,0.0,58.05,12.2,40.6,27.7,27.259999999999998,4.4908298467066565,32.4,31.840000000000003,6.7455853205794405,42.48366013071895,35.778373032288435,8.470985752720264,0,60.63380281690141,40.60283687943262,196,Manter vigilância de rotina.,2026-06-19 10:28:33
5103908,General Carneiro,ERS Barra do Garças,verde,0,verde,15.06,15.1,24.65,8.33,0.0,32.49,17.68,42.61,21.7,21.419999999999998,2.0664145784444923,32.0,31.32,4.60650393424182,45.65419474785034,34.25395252176689,1.7427388249822413,0,42.74647887323944,42.61229314420804,284,Manter vigilância de rotina.,2026-06-19 10:28:33
5103957,Glória D'Oeste,ERS Cáceres,verde,0,verde,7.58,7.6,16.8,6.26,0.0,0.0,9.21,22.04,18.4,17.72,0.0,30.6,30.28,3.0952544288821944,45.65419474785034,31.957936323495236,2.4559116080660583,0,18.908450704225356,22.044917257683213,148,Manter vigilância de rotina.,2026-06-19 10:28:33
5104104,Guarantã do Norte,ERS Peixoto de Azevedo,amarela,1,verde,33.35,33.4,25.16,32.88,0.0,97.08,82.47,86.17,29.5,29.259999999999998,5.228253162575587,31.2,30.840000000000003,5.886700773219523,58.084772370486654,49.185177506646866,6.107386335225542,0,87.95774647887325,86.17021276595746,1325,Manter vigilância de rotina.,2026-06-19 10:28:33
5104203,Guiratinga,ERS Rondonópolis,verde,0,verde,14.53,14.5,18.75,7.74,0.0,50.2,19.92,56.38,19.2,18.88,1.4742032461578223,31.7,30.520000000000003,2.923933404308963,45.65419474785034,33.59593993033726,2.1330834190483805,0,55.14084507042254,56.382978723404264,320,Manter vigilância de rotina.,2026-06-19 10:28:33
5104500,Indiavaí,ERS Cáceres,verde,0,verde,7.1,7.1,15.22,6.26,0.0,0.0,4.67,10.58,17.7,17.139999999999997,0.0,30.9,30.58,1.881283975491133,45.65419474785034,31.957936323495236,3.749070550739057,0,18.204225352112676,10.57919621749409,75,Manter vigilância de rotina.,2026-06-19 10:28:33
5104526,Ipiranga do Norte,ERS Sinop,verde,0,verde,19.26,19.3,26.97,9.24,0.0,43.66,34.92,43.74,22.3,22.1,2.973299542433388,31.9,31.340000000000003,5.706012629606169,45.65419474785034,35.26160248175456,8.139766403386977,0,50.563380281690144,43.735224586288425,561,Manter vigilância de rotina.,2026-06-19 10:28:33
5104542,Itanhangá,ERS Sinop,verde,0,verde,16.76,16.8,25.8,8.07,1.22,33.8,19.85,26.95,21.7,21.619999999999997,1.805963127551145,31.3,31.1,5.852037569761688,45.65419474785034,33.96456202077429,10.506578456921249,0,43.66197183098592,26.95035460992908,319,Manter vigilância de rotina.,2026-06-19 10:28:33
5104559,Itaúba,ERS Colíder,amarela,1,verde,17.63,17.6,29.11,10.1,0.0,30.48,20.17,32.68,25.5,25.419999999999998,3.840547192557283,31.6,31.240000000000002,6.986358632363867,45.65419474785034,36.22521098189222,9.839080922551387,0,41.33802816901409,32.68321513002364,324,Manter vigilância de rotina.,2026-06-19 10:28:33
5104609,Itiquira,ERS Rondonópolis,verde,0,verde,14.86,14.9,9.9,32.27,0.0,46.33,12.45,65.37,16.0,15.559999999999999,0.0,30.6,29.520000000000003,0.7028994964200272,61.607142857142854,43.12499999999999,1.8562835541567053,0,52.429577464788736,65.36643026004728,200,Manter vigilância de rotina.,2026-06-19 10:28:33
5104807,Jaciara,ERS Rondonópolis,verde,0,verde,8.49,8.5,5.39,6.26,0.0,50.75,26.89,84.4,16.1,16.02,0.0,28.8,28.24,0.3255680295511283,45.65419474785034,31.957936323495236,4.893133982964524,0,55.528169014084504,84.39716312056737,432,Manter vigilância de rotina.,2026-06-19 10:28:33
5104906,Jangada,ERS Cuiabá,verde,0,verde,10.89,10.9,26.54,0.0,0.0,15.59,7.59,39.54,18.7,18.22,0.5606101261511434,32.2,31.760000000000005,4.891342739146692,15.254237288135593,11.300866241862852,4.027366316256325,0,30.915492957746483,39.53900709219858,122,Manter vigilância de rotina.,2026-06-19 10:28:33
5105002,Jauru,ERS Pontes e Lacerda,verde,0,verde,4.1,4.1,4.5,6.26,0.0,21.58,10.77,57.33,15.6,15.2,0.0,28.3,28.02,0.13037457355948057,45.65419474785034,31.957936323495236,3.749070550739057,0,35.105633802816904,57.328605200945624,173,Manter vigilância de rotina.,2026-06-19 10:28:33
5105101,Juara,ERS Juara,verde,0,verde,18.29,18.3,27.38,0.0,2.19,50.3,55.27,88.95,23.7,23.419999999999998,0.695934661273343,31.3,31.120000000000005,6.5459592069061685,34.10852713178294,24.649229726996218,10.913700165815499,0,55.21126760563379,88.94799054373522,888,Manter vigilância de rotina.,2026-06-19 10:28:33
5105150,Juína,ERS Juína,verde,0,verde,25.42,25.4,23.38,9.13,0.0,79.98,87.57,92.49,22.0,21.84,2.8705968574444363,31.0,31.080000000000005,5.0097633936644765,45.65419474785034,35.14748838732239,7.765115583215648,0,75.98591549295774,92.49408983451536,1407,Manter vigilância de rotina.,2026-06-19 10:28:33
5105176,Juruena,ERS Juína,verde,0,verde,18.82,18.8,25.16,7.96,0.0,54.23,31.37,53.66,25.6,25.44,1.698801242982194,31.3,31.020000000000003,5.640350554599456,45.65419474785034,33.84549326014212,8.040310064797374,0,57.95774647887324,53.664302600472816,504,Manter vigilância de rotina.,2026-06-19 10:28:33
5105200,Juscimeira,ERS Rondonópolis,verde,0,verde,12.4,12.4,19.73,7.17,0.0,38.73,13.38,60.87,17.1,16.7,0.9089358503688789,31.7,30.940000000000005,2.973069525381691,45.65419474785034,32.96786504612732,2.9924330195147166,0,47.112676056338024,60.87470449172577,215,Manter vigilância de rotina.,2026-06-19 10:28:33
5105234,Lambari D'Oeste,ERS Cáceres,verde,0,verde,12.28,12.3,21.77,6.26,0.0,15.04,14.63,15.84,19.1,18.34,0.0,31.1,30.860000000000007,4.41611068919787,45.65419474785034,31.957936323495236,4.058451718482475,0,30.52816901408451,15.839243498817964,235,Manter vigilância de rotina.,2026-06-19 10:28:33
5105259,Lucas do Rio Verde,ERS Sinop,verde,0,verde,25.3,25.3,22.26,7.79,0.0,74.75,100.0,91.78,19.6,19.52,1.5254330522355968,31.7,31.020000000000003,4.034517494179497,45.65419474785034,33.65286193709034,7.567322232889872,0,72.32394366197184,91.78486997635935,2952,Manter vigilância de rotina.,2026-06-19 10:28:33
5105309,Luciara,ERS São Félix do Araguaia,vermelha,3,verde,34.29,34.3,67.36,25.23,0.0,32.6,4.67,31.21,33.9,32.82,13.851706513028708,34.0,33.160000000000004,13.851706513028708,45.65419474785034,53.03205467130492,5.611795165815683,0,42.816901408450704,31.20567375886525,75,Manter vigilância de rotina. Emitir alerta antecipado para os próximos 7 dias com base na previsão meteorológica.,2026-06-19 10:28:33
5105507,Vila Bela da Santíssima Trindade,ERS Pontes e Lacerda,verde,0,verde,9.4,9.4,11.66,6.26,0.0,38.18,14.44,56.32,19.8,19.16,0.0,30.1,29.86,1.5530049074377903,45.65419474785034,31.957936323495236,4.793664707011323,0,46.72535211267606,56.32387706855791,232,Manter vigilância de rotina.,2026-06-19 10:28:33
5105580,Marcelândia,ERS Colíder,amarela,1,verde,26.57,26.6,34.57,15.26,4.58,60.76,42.76,52.9,29.3,29.060000000000002,6.70297257197533,32.3,31.939999999999998,8.26173513602614,45.65419474785034,41.95568362569005,11.90720048051182,0,62.53521126760564,52.89598108747045,687,Manter vigilância de rotina.,2026-06-19 10:28:33
5105606,Matupá,ERS Peixoto de Azevedo,amarela,1,verde,21.04,21.0,23.86,14.36,0.0,70.72,33.98,75.47,30.1,29.78,5.264813603412001,31.0,30.620000000000005,5.656537527690096,45.65419474785034,40.95772921617524,5.951573508532286,0,69.50704225352113,75.4728132387707,546,Manter vigilância de rotina.,2026-06-19 10:28:33
5105622,Mirassol d'Oeste,ERS Cáceres,verde,0,verde,13.63,13.6,10.89,6.26,0.0,51.26,54.33,79.73,18.0,17.439999999999998,0.0,30.1,29.78,1.280499233091133,45.65419474785034,31.957936323495236,3.7164133927154976,0,55.880281690140855,79.72813238770686,873,Manter vigilância de rotina.,2026-06-19 10:28:33
5105903,Nobres,ERS Diamantino,verde,0,verde,24.94,24.9,23.7,38.85,0.0,64.29,26.08,71.57,18.3,18.1,1.7292380682044701,32.2,31.560000000000002,3.8007259117022336,64.02439024390245,46.73844880207001,4.191714426540597,0,65.0,71.57210401891253,419,Manter vigilância de rotina.,2026-06-19 10:28:33
