cod_ibge,cod_ibge_6,municipio_base,municipio_indicasus,LocalidadeId,unidades,ultima_movimentacao,leitos_existentes,leitos_sus,leitos_ocupados,leitos_bloqueados_cadastro,leitos_bloqueados_movimento,leitos_higienizacao,leitos_reservados,movimentos_ativos_dedup,grupos_ocupacao_maior_capacidade,ocupacao_pct_bruta,ocupacao_pct,fonte,data_processamento
5103007,510300,Chapada dos Guimarães,Chapada dos Guimarães,51.05.1233,5,2026-06-19 09:35:00,254,254,211,0,40,76,3,330,0,83.07086614173228,83.07086614173228,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5108956,510895,Nova Monte Verde,Nova Monte Verde,51.02.3307,3,2026-06-19 10:22:00,311,311,246,0,170,58,5,479,0,79.09967845659163,79.09967845659163,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5107578,510757,Rondolândia,Rondolândia,51.15.5706,2,2026-06-19 09:36:00,100,100,79,0,0,2,0,81,0,79.0,79.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5107065,510706,Querência,Querência,51.01.4025,1,2026-06-19 07:00:00,25,25,18,0,0,11,0,29,0,72.0,72.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5105903,510590,Nobres,Nobres,51.06.3234,4,2026-06-19 07:25:00,164,144,105,0,6,32,0,143,0,64.02439024390245,64.02439024390245,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5104609,510460,Itiquira,Itiquira,51.11.2403,1,2026-06-19 10:13:00,112,112,69,0,44,0,17,130,0,61.607142857142854,61.607142857142854,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5101803,510180,Barra do Garças,Barra do Garças,51.03.0514,4,2026-06-19 08:57:00,213,179,131,0,13,61,8,213,0,61.502347417840376,61.502347417840376,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5104104,510410,Guarantã do Norte,Guarantã do Norte,51.09.1995,7,2026-06-19 10:20:00,637,422,370,0,76,31,12,489,0,58.084772370486654,58.084772370486654,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5103403,510340,Cuiabá,Cuiabá,51.05.1471,19,2026-06-19 10:07:00,1514,1263,874,0,65,1120,55,2114,0,57.72787318361955,57.72787318361955,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5101852,510185,Bom Jesus do Araguaia,Bom Jesus do Araguaia,51.01.5692,4,2026-06-19 10:19:00,817,573,443,0,22,17,13,495,0,54.22276621787026,54.22276621787026,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5102686,510268,Campos de Júlio,Campos de Júlio,51.15.0977,4,2026-06-19 09:24:00,248,149,127,0,0,2,0,129,0,51.20967741935484,51.20967741935484,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5102702,510270,Canarana,Canarana,51.01.0995,7,2026-06-19 08:44:00,326,126,147,0,0,18,0,165,0,45.0920245398773,45.0920245398773,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106299,510629,Paranaíta,Paranaíta,51.02.3547,5,2026-06-19 09:00:00,198,152,89,0,2,10,0,101,0,44.94949494949495,44.94949494949495,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5100250,510025,Alta Floresta,Alta Floresta,51.02.0129,15,2026-06-19 10:00:00,602,495,264,0,31,221,0,516,0,43.85382059800664,43.85382059800664,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5103858,510385,Gaúcha do Norte,Gaúcha do Norte,51.01.1869,4,2026-06-19 08:00:00,153,153,65,0,10,95,2,172,0,42.48366013071895,42.48366013071895,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5102793,510279,Carlinda,Carlinda,51.02.1106,1,2026-06-19 06:22:00,41,41,15,0,0,9,0,24,0,36.58536585365854,36.58536585365854,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5100201,510020,Água Boa,Água Boa,51.01.0047,11,2026-06-19 09:25:00,948,585,345,0,166,166,9,686,0,36.392405063291136,36.392405063291136,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5105101,510510,Juara,Juara,51.07.2587,1,2026-06-18 20:00:00,129,32,44,0,0,0,1,45,0,34.10852713178294,34.10852713178294,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5103106,510310,Cocalinho,Cocalinho,51.01.1276,3,2026-06-19 00:00:00,65,60,22,0,3,26,0,51,0,33.84615384615385,33.84615384615385,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106752,510675,Pontes e Lacerda,Pontes e Lacerda,51.15.3876,11,2026-06-19 10:19:00,370,331,125,0,33,217,3,378,0,33.78378378378378,33.78378378378378,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106158,510615,Nova Bandeirantes,Nova Bandeirantes,51.02.3258,4,2026-06-19 00:00:00,103,96,33,0,0,15,0,48,0,32.03883495145631,32.03883495145631,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5107180,510718,Ribeirão Cascalheira,Ribeirão Cascalheira,51.01.4116,6,2026-06-19 06:00:00,177,132,55,0,2,90,0,147,1,31.073446327683616,31.073446327683616,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5104906,510490,Jangada,Jangada,51.05.2487,3,2026-06-19 00:00:00,59,56,9,0,0,13,0,22,0,15.254237288135593,15.254237288135593,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106802,510680,Porto dos Gaúchos,Porto dos Gaúchos,51.07.3909,3,2026-06-19 08:24:00,50,47,7,0,0,0,0,7,0,14.0,14.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106224,510622,Nova Mutum,Nova Mutum,51.12.3308,1,2026-06-18 00:00:00,41,41,5,0,0,0,0,5,0,12.195121951219512,12.195121951219512,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5107305,510730,São José do Rio Claro,São José do Rio Claro,51.06.4728,4,2026-06-19 07:00:00,97,90,8,0,0,46,0,54,0,8.24742268041237,8.24742268041237,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5103809,510380,Figueirópolis D'Oeste,Figueirópolis D Oeste,51.15.1765,2,2026-06-19 00:00:00,29,29,2,0,0,8,0,10,0,6.896551724137931,6.896551724137931,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106505,510650,Poconé,Poconé,51.05.3848,1,2026-06-18 13:21:00,44,44,3,0,0,149,0,152,0,6.818181818181818,6.818181818181818,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5107776,510777,Santa Terezinha,Santa Terezinha,51.10.4426,2,2026-06-19 00:00:00,30,30,2,0,0,47,0,49,0,6.666666666666667,6.666666666666667,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106422,510642,Peixoto de Azevedo,Peixoto de Azevedo,51.09.3681,6,2026-06-19 00:00:00,183,81,10,0,0,22,0,32,0,5.46448087431694,5.46448087431694,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5103502,510350,Diamantino,Diamantino,51.06.1536,6,2026-06-18 15:00:00,108,88,3,0,0,67,0,70,0,2.7777777777777777,2.7777777777777777,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106109,510610,Nossa Senhora do Livramento,Nossa Senhora do Livramento,51.05.3245,1,2025-05-27 00:00:00,130,0,3,0,0,0,0,3,0,2.3076923076923075,2.3076923076923075,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5100805,510080,Apiacás,Apiacás,51.02.0274,1,2026-02-14 08:00:00,8,0,0,0,0,3,0,3,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5102694,510269,Canabrava do Norte,Canabrava do Norte,51.10.0987,3,,89,0,0,0,0,0,0,0,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5103353,510335,Confresa,Confresa,51.10.1341,2,,55,43,0,0,0,0,0,0,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106208,510620,Nova Brasilândia,Nova Brasilândia,51.05.3262,1,2025-08-01 00:00:00,14,14,0,0,0,3,0,3,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106273,510627,Novo Horizonte do Norte,Novo Horizonte do Norte,51.07.3362,2,,79,44,0,0,0,0,0,0,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5107602,510760,Rondonópolis,Rondonópolis,51.11.4220,1,,46,0,0,0,0,0,0,0,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5108402,510840,Várzea Grande,Várzea Grande,51.05.5390,2,,37,27,0,0,0,0,0,0,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
